hotel_city,hotel_name,hotel_star,hotel_district,hotel_address,hotel_languages,hotel_bbox,hotel_coordinates
Tbilisi,8 Rooms Apartotel On Meidan,0,Tbilisi City,"1 Ovanes Tumaniani street, 0105 Tbilisi City, Georgia","Russian, English","[('41.6682019969112', '44.7955889'), ('41.7112825480298', '44.8182617871648')]","(41.6897422724705, 44.8069253435824)"
Tbilisi,"New Tiflis Duplex Apartment ""Elinor""",0,"Chugureti, Tbilisi City","36 David Aghmashenebeli Avenue, Tbilisi,Georgia third floor, Chugureti, 0102 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6886872', '44.7770483386841'), ('41.720311291517', '44.826345')]","(41.7044992457585, 44.801696669342)"
Tbilisi,Ateshgah Residence,0,Tbilisi City,"Askana IV Dead End N3, 0105 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6565041237814', '44.7936077881604'), ('41.721118', '44.817828135565')]","(41.6888110618907, 44.8057179618627)"
Tbilisi,Tbilisi Boutique Mansion,0,Tbilisi City,"Vertskhli Street 19, 0105 Tbilisi City, Georgia","Russian, English","[('41.6848142507379', '44.7845676541329'), ('41.703379585276', '44.8243340849876')]","(41.694096918007, 44.8044508695602)"
Tbilisi,Your Lovely Boudoir,0,"Chugureti, Tbilisi City","25 Zurab Kvlividze Street 1st Floor, Chugureti, 0102 Tbilisi City, Georgia","Russian, English","[('41.6872555037732', '44.7811263687172'), ('41.7290104962268', '44.8320116312828')]","(41.708133, 44.806569)"
Tbilisi,Lesya Apartment with Terrace,0,"Mtatsminda , Tbilisi City","Lesya Ukrainka 3, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, Georgian","[('41.6884269251885', '44.7849351167679'), ('41.7077541732565', '44.809278845787')]","(41.6980905492225, 44.7971069812775)"
Tbilisi,Kipiani Guest house,2,"Mtatsminda , Tbilisi City","Kipiani street 10, Mtatsminda , 0108 Tbilisi City, Georgia",,"[('41.6885691380332', '44.7413492868652'), ('41.7058607693876', '44.8465025424957')]","(41.6972149537104, 44.7939259146805)"
Tbilisi,Picturesque Four Bedroom Four Bathrom Penthouse Apartment,0,"Chugureti, Tbilisi City","112 Mikheili Tsinamdzghvrishvili Street, Chugureti, 0164 Tbilisi City, Georgia",,"[('41.6763125081571', '44.7464835415955'), ('41.7499754918429', '44.8491344584045')]","(41.713144, 44.797809)"
Tbilisi,Sunset Apartments,0,"Mtatsminda , Tbilisi City","19 Pavle Ingorokva Street, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, English","[('41.6911213779945', '44.780233'), ('41.7012426220055', '44.811819')]","(41.696182, 44.796026)"
Tbilisi,Tbilisi Center Antresola #9,0,Tbilisi City,"9 Giorgi Leonidze Street Floor II, 0105 Tbilisi City, Georgia",,"[('41.6788767826715', '44.7805512919961'), ('41.7058892173285', '44.8166827080039')]","(41.692383, 44.798617)"
Tbilisi,G-Old Town,0,"Chugureti, Tbilisi City","10 Tkviavi Street, Chugureti, 0102 Tbilisi City, Georgia","Russian, English","[('41.6352974', '44.7348741906128'), ('41.7723206', '44.8732378093872')]","(41.703809, 44.804056)"
Tbilisi,Apartment GiFe Old Tbilisi,0,Tbilisi City,"Ietim-Gurji Street, 0105 Tbilisi City, Georgia","Russian, English","[('41.6801648730105', '44.7861770214513'), ('41.7099491269895', '44.8238569785487')]","(41.695057, 44.805017)"
Tbilisi,Pearl Apartment,0,"Chugureti, Tbilisi City","Dimitri Uznadze Street 4 Entrance N6, 8th floor, Chugureti, 0102 Tbilisi City, Georgia","Russian, French, English","[('41.6776319967244', '44.7598435728416'), ('41.731662357406', '44.8356256635324')]","(41.7046471770652, 44.797734618187)"
Tbilisi,David's Apartment with 2 Bedrooms,0,"Saburtalo, Tbilisi City","Simon Chikovani Street 4-6-8-10 appt 32, Saburtalo, 0171 Tbilisi City, Georgia","Russian, English","[('41.6880096738921', '44.7295899150124'), ('41.7424603261079', '44.8243340849876')]","(41.715235, 44.776962)"
Tbilisi,Winograph Loft,0,Tbilisi City,"6 Shalva Dadiani Street 2nd Floor, 0100 Tbilisi City, Georgia","Russian, English","[('41.6831101', '44.778067'), ('41.7020439', '44.826345')]","(41.692577, 44.802206)"
Tbilisi,Castlerock Villa,0,Tbilisi City,"Sololaki, Maro Makashvili Rise, 1 Dead End, 1/4, 0127 Tbilisi City, Georgia","Russian, English","[('41.6698865256922', '44.7732836008072'), ('41.7059147438648', '44.8131412267685')]","(41.6879006347785, 44.7932124137878)"
Tbilisi,Zaav Apartment,0,"Mtatsminda , Tbilisi City","Dzmebi Zubalashvilebi Street N52, Mtatsminda , 0104 Tbilisi City, Georgia","Russian, English","[('41.6309454', '44.7679725'), ('41.7723206', '44.8151375')]","(41.701633, 44.791555)"
Tbilisi,Dream Hills Apartment,0,Tbilisi City,"4 Avtandili Street, 0114 Tbilisi City, Georgia","Russian, Georgian, Italian, English","[('41.687596', '44.7662093240814'), ('41.693124', '44.8146146759186')]","(41.69036, 44.790412)"
Tbilisi,Art House Petunia,0,"Mtatsminda , Tbilisi City","Rustaveli avenue 46, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, English","[('41.6921831916988', '44.7804909772751'), ('41.7132936083012', '44.8031312227249')]","(41.7027384, 44.7918111)"
Tbilisi,House In Avlabari,0,"Avlabari, Tbilisi City","Elene Akhvlediani Street 6A, Avlabari, 0109 Tbilisi City, Georgia",,"[('41.671660566082', '44.7825035710892'), ('41.7239983275058', '44.8384091')]","(41.6978294467939, 44.8104563355446)"
Tbilisi,Hotel Griboedov,0,"Mtatsminda , Tbilisi City","6 griboedov street, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, English","[('41.6899341459193', '44.7875207662582'), ('41.7083578540807', '44.8040932337418')]","(41.699146, 44.795807)"
Tbilisi,Elitist Apartment Rustaveli Ave 24,0,"Mtatsminda , Tbilisi City","24 Shota Rustaveli Avenue, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, Georgian, Spanish, English","[('41.672866', '44.767575'), ('41.727666', '44.823991')]","(41.700266, 44.795783)"
Tbilisi,All Seasons Hotel on Freedom Square,0,Tbilisi City,"Freedom Square 4B, Bulding 2B 3 floor, 0105 Tbilisi City, Georgia",,"[('41.6897334564794', '44.7915737512932'), ('41.6970153342742', '44.8094047423973')]","(41.6933743953768, 44.8004892468452)"
Tbilisi,Leather Lane,0,Tbilisi City,"Kote Abkhazi #32, 0105 Tbilisi City, Georgia","Russian, Latvian, Georgian, English","[('41.6841396533954', '44.7932124137878'), ('41.70040976', '44.8199145167146')]","(41.6922747066977, 44.8065634652512)"
Tbilisi,Stay Boutique Hotel,0,"Mtatsminda , Tbilisi City","26 Dzmebi Kakabadzeebi Street, Mtatsminda , Tbilisi City, Georgia","Russian, English","[('41.6894664738037', '44.7706254675964'), ('41.7146213261963', '44.8061299324036')]","(41.7020439, 44.7883777)"
Tbilisi,Apartment DK in Tbilisi Center,0,"Mtatsminda , Tbilisi City","Mtatsminda, 39/8 Revaz Tabukashvili St 2 Floor, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, English","[('41.6878688295028', '44.7809233486466'), ('41.7175757956462', '44.8105735361763')]","(41.7027223125745, 44.7957484424114)"
hotel_city,hotel_name,hotel_star,hotel_district,hotel_address,hotel_languages,hotel_bbox,hotel_coordinates
Tbilisi,Apartment Mikheil Zandukeli 23,0,"Vera, Tbilisi City","Mikheil Zandukeli 23, 1st floor, Vera, 0108 Tbilisi City, Georgia",,"[('41.6875884696175', '44.7603939656761'), ('41.7211915303825', '44.8099880343239')]","(41.70439, 44.785191)"
Tbilisi,Dream Hill Terrace Hotel,0,"Vera, Tbilisi City","Kote Makharadze Street 1, Vera, Vera, 0179 Tbilisi City, Georgia","Russian, Georgian, English","[('41.692290596214', '44.754489368477'), ('41.730384803786', '44.8121756315231')]","(41.7113377, 44.7833325)"
Tbilisi,Lovely Apartment in Old Tbilisi,0,Tbilisi City,"Galaktion Tabidze str. 15, 0105 Tbilisi City, Georgia","Russian, English","[('41.6738092656061', '44.7853706883936'), ('41.7078380188101', '44.817022')]","(41.6908236422081, 44.8011963441968)"
Tbilisi,Green Garden,0,"Chugureti, Tbilisi City","Ivane Javakhishvili Street №10 настоящий тбилисский дом, в старом городе, Chugureti, 0102 Tbilisi City, Georgia","Ukrainian, Russian, English","[('41.6794007415257', '44.7381910867989'), ('41.7275518881496', '44.8739009605033')]","(41.7034763148376, 44.8060460236511)"
Tbilisi,Historical Old Tbilisi,0,Tbilisi City,"Grishashvili 24, 0105 Tbilisi City, Georgia","Russian, English","[('41.6737959838202', '44.7932124137878'), ('41.701471391983', '44.83210450645')]","(41.6876336879016, 44.8126584601189)"
Tbilisi,Grandpa's House,0,"Chugureti, Tbilisi City","46 Davit Aghmashenebeli Avenue, Chugureti, 0101 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6875884696175', '44.788063699207'), ('41.7235172535807', '44.8122506962952')]","(41.7055528615991, 44.8001571977511)"
Tbilisi,Vere Cozy Apartment,0,"Vera, Tbilisi City","5a Iakob Nikoladze Street, Entrance V, 7th floor, 104 apt, Vera, 0179 Tbilisi City, Georgia","Russian, Georgian, Italian, English","[('41.6859511723086', '44.7495620902824'), ('41.7334173706946', '44.8145199110451')]","(41.7096842715016, 44.7820410006638)"
Tbilisi,Harmony Hotel,0,"Chugureti, Tbilisi City","46/10 Davit Aghmashenebeli Avenue, Chugureti, 0102 Tbilisi City, Georgia","Turkish, Russian, English","[('41.6773753857457', '44.7866713022814'), ('41.7334784644377', '44.8134735692292')]","(41.7054269250917, 44.8000724357553)"
Tbilisi,georgi apartamenti,0,"Avlabari, Tbilisi City","улица Александра аладашвили 3 двухэтажный дом первый этаж, Avlabari, 0103 Tbilisi City, Georgia","Russian, English","[('41.6765996316096', '44.776962'), ('41.715235', '44.8578376288223')]","(41.6959173158048, 44.8173998144111)"
Tbilisi,Isani Panorama,0,Tbilisi City,"Stephan Chrelashvili 3 , floor 14, apt .55, 0133 Tbilisi City, Georgia",,"[('41.6472635984399', '44.7447386487693'), ('41.7207815291533', '44.934321030292')]","(41.6840225637966, 44.8395298395307)"
Tbilisi,Apartment in Mtatsminda,0,"Mtatsminda , Tbilisi City","Vukol Beridze Street 6a, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6875703827681', '44.7756603732705'), ('41.7008447650505', '44.8151461780071')]","(41.6942075739093, 44.7954032756388)"
Tbilisi,Diamond Apartments Tbilisi,0,"Mtatsminda , Tbilisi City","Kostava Street 46,  Floor 2st, Mtatsminda , 0118 Tbilisi City, Georgia","Ukrainian, Turkish, Russian, Georgian, English, Belarusian, Azerbaijani","[('41.6893908064778', '44.7458056'), ('41.7087755935222', '44.842448')]","(41.6990832, 44.7941268)"
Tbilisi,Vake,0,"Vake, Tbilisi City","75 Chavchavadze Avenue fl N 85, 11 floor, 17 floor building, Vake, 0162 Tbilisi City, Georgia","Russian, English","[('41.6851310294087', '44.6382093150169'), ('41.7386396720849', '44.8465025424957')]","(41.7118853507468, 44.7423559287563)"
