city,name,star,property_type,district,address,languages,bbox,coordinates
Moscow,Apartment Na Kutuzovskiy Prospect,0,Apartments,"Third Transport Ring, Moscow","Kutuzovskiy Prospekt, 35/32, Dorogomilovo, 121165 Moscow, Russia",,"[('55.7222200063642', '37.5055146140302'), ('55.7581508395104', '37.5694587357073')]","(55.7401854229373, 37.5374866748688)"
Moscow,Business Brusnika Generala Antonova 4,0,Apartments,Moscow,"ulitsa Generala Antonova 4, 117342 Moscow, Russia","Russian, English","[('55.4397473448655', '37.4204177412117'), ('55.8493790736257', '37.6480838656425')]","(55.6445632092456, 37.5342508034271)"
Moscow,Luxcompany Apartment Shabolovskaya,0,Apartments,"Third Transport Ring, Moscow","Ulitsa Shukhova 17 Bldg 1 , Danilovsky, 115162 Moscow, Russia",,"[('55.6742330437031', '37.5661464'), ('55.7587322582538', '37.6554210519539')]","(55.7164826509784, 37.6107837259769)"
Moscow,Studio Financial District,0,Apartments,"Presnensky, Moscow","Krasnogvardeysky Bulvar 5, Bldg 1, Presnensky, 123317 Moscow, Russia","Russian, Spanish, English","[('55.7174475374582', '37.418599'), ('55.8015334698476', '37.6662772037049')]","(55.7594905036529, 37.5424381018524)"
Moscow,City Apartments Taganskaya2,0,Apartments,"Tagansky, Moscow","Stroykovskaya Ulitsa, Tagansky, 109316 Moscow, Russia","Russian, English","[('55.68785599', '37.560557'), ('55.78145801', '37.787267')]","(55.734657, 37.673912)"
Moscow,Fortline Apartment Belorusskaya,0,Apartments,"Third Transport Ring, Moscow","Leningradskiy Prospekt 4/2, Begovoy, 115419 Moscow, Russia","Russian, English","[('55.747933', '37.551236'), ('55.809541', '37.6131379999999')]","(55.778737, 37.582187)"
Moscow,Гостиница L&G,0,Inns,"Ramenki, Moscow","Улица Столетова 7, корп.1, Ramenki, 119192 Moscow, Russia",,"[('55.6730076246183', '37.4149155849853'), ('55.7390389483763', '37.5902271037659')]","(55.7060232864973, 37.5025713443756)"
Moscow,ibis budget Moscow Panfilovskaya Hotel,0,Hotels,"Schukino, Moscow","Ulitsa Marshala Rybalko 2, Bldg.5, Schukino, 123060 Moscow, Russia","Russian, English","[('55.66352', '37.3741382281722'), ('55.9349961837003', '37.6168591951065')]","(55.7992580918502, 37.4954987116394)"
Moscow,Apartament Milan on 800-letiya Moskvy,0,Apartments,Moscow,"800-letiya Moskvy street 11, 127591 Moscow, Russia","Russian, English","[('55.714205', '37.3559480274841'), ('56.0479108', '37.7732851725159')]","(55.8810579, 37.5646166)"
Moscow,Apartments Ostrovitianova 9,0,Apartments,Moscow,"Ulitsa Ostrovitianova, 9, 117198 Moscow, Russia","Russian, English","[('55.6276922', '37.4191108'), ('55.660302', '37.572535')]","(55.6439971, 37.4958229)"
Moscow,FortEstate Novatorov 4,0,Apartments,Moscow,"Ulitsa Novatorov, 4 , 119421 Moscow, Russia","Russian, English","[('55.4744861879764', '37.4602305506801'), ('55.863745', '37.5825776159763')]","(55.6691155939882, 37.5214040833282)"
Moscow,Apartment on Noviy Arbat 22,0,Apartments,"Arbat, Moscow","Новый Арбат 22, Arbat, 119019 Moscow, Russia","Russian, English","[('55.730859', '37.550605026062'), ('55.7749013406794', '37.631542')]","(55.7528801703397, 37.591073513031)"
Moscow,Na Paveletskoy Apartment,0,Apartments,"Zamoskvorechye, Moscow","Ulitsa Dubininskaya 11/17, Bldg 2, Zamoskvorechye, 115004 Moscow, Russia",,"[('55.713942139543', '37.5682693719864'), ('55.74193984826', '37.7085031568497')]","(55.7279409939015, 37.638386264418)"
Moscow,Dream House Smolenskaya 2,0,Apartments,"Arbat, Moscow","1-y Smolenskiy pereulok  22 str 10 apt 34, Arbat, 121099 Moscow, Russia","Russian, English","[('55.7278250035685', '37.5617664122047'), ('55.7713823171661', '37.599255')]","(55.7496036603673, 37.5805107061024)"
Moscow,Intermark Expo Apartments,0,Apartments,"Third Transport Ring, Moscow","Kutuzovsky Prospekt 24, Dorogomilovo, 121151 Moscow, Russia","Russian, English","[('55.7266075601836', '37.513469458503'), ('55.7625383933298', '37.5774207702453')]","(55.7445729767567, 37.5454451143742)"
Moscow,Moskva4you on Goncharnyy Proyezd,0,Apartments,"Tagansky, Moscow","6 Goncharnyy Proyezd строение 1, Tagansky, 115172 Moscow, Russia","Russian, English","[('55.7080315522794', '37.572387'), ('55.7701642477206', '37.726043')]","(55.7390979, 37.649215)"
Moscow,Tulskaya Fortline Apartments,0,Apartments,"Third Transport Ring, Moscow","6 Malaya Tul'skaya Ulitsa, Danilovsky, 115191 Moscow, Russia","Russian, English","[('55.635724', '37.4930780000001'), ('55.782198', '37.7429999999999')]","(55.708961, 37.618039)"
Moscow,Rusapart on Zubovsky Hotel,0,Hotels,"Khamovniki, Moscow","Zubovsky Bulvar 16-20, Khamovniki, 119021 Moscow, Russia",,"[('55.6859940201456', '37.5341761111486'), ('55.79070238', '37.6417171952926')]","(55.7383482000728, 37.5879466532206)"
Moscow,Astor Apartments Kutuzovskiy,0,Apartments,"Third Transport Ring, Moscow","Kutuzovskiy Prospect 30/32, Dorogomilovo, 121099 Moscow, Russia",,"[('55.7418758731615', '37.5355965531769'), ('55.746023', '37.558456')]","(55.7439494365807, 37.5470262765884)"
Moscow,Apartment na Ulitsa Trehgorniy Val,0,Apartments,"Presnensky, Moscow","Trehgorniy Val 16, Presnensky, 123022 Moscow, Russia",,"[('55.7218385450626', '37.5318932536538'), ('55.7998698549374', '37.5913817463461')]","(55.7608542, 37.5616375)"
Moscow,TVST Apartments Moscow,0,Apartments,"Tverskoy, Moscow","8 Tverskaya ulitsa 1 korpus, Tverskoy, 125009 Moscow, Russia","Russian, English","[('55.7440291350125', '37.5786384'), ('55.7800248649875', '37.640201')]","(55.762027, 37.6094197)"
Moscow,Apartment on Afanas'yevskiy,0,Apartments,"Arbat, Moscow","Bol'shoy Afanas'yevskiy Pereulok, 31, apt. 2, Arbat, 119019 Moscow, Russia","Russian, English","[('55.7235686', '37.55206339'), ('55.7744414', '37.64073461')]","(55.749005, 37.596399)"
Moscow,111-Mosflat - Moscow,0,Apartments,"Third Transport Ring, Moscow","Sharikopodshipnekovskaya Ulitsa area, 121309 Moscow, Russia",,"[('55.6188875535885', '37.51816303'), ('55.8154526162868', '37.8293368174121')]","(55.7171700849377, 37.6737499237061)"
Moscow,Stylish apartment on Kutuzovskiy prospekt,0,Apartments,Moscow,"20 ulitsa Gerasima Kurina, 121108 Moscow, Russia",,"[('55.718547', '37.395177'), ('55.743095', '37.540717')]","(55.730821, 37.467947)"
Moscow,Apart4You AkademDom,0,Apartments,Moscow,"8 Ulitsa Arkhitektora Vlasova, 117335 Moscow, Russia",,"[('55.6601825834269', '37.516638664404'), ('55.6961134165731', '37.580481335596')]","(55.678148, 37.54856)"
Moscow,Apartment on TRUBNAYA,0,Apartments,"Meshchansky, Moscow","Rozhdestvensky Bulvar 10/7, bldg 1, ap. 21, Meshchansky, 107031 Moscow, Russia","Russian, Moldovan, Georgian, English","[('55.6803362436867', '37.540717'), ('55.8520877563133', '37.712515')]","(55.766212, 37.626616)"
Moscow,Apartment on Yakovoapostolskiy 17,0,Apartments,"Basmanny, Moscow","Yakovoapostolskiy Pereulok 17, Basmanny, 105064 Moscow, Russia","Russian, English","[('55.73008', '37.5652879828033'), ('55.788718', '37.7470860171967')]","(55.759399, 37.656187)"
Moscow,Optima Apartment on Krasnaya Presnya,0,Apartments,"Presnensky, Moscow","Presnenskiy pereulok, 6, Presnensky, 123242 Moscow, Russia","Ukrainian, Russian, English","[('55.7248749027279', '37.459072661377'), ('55.7974930695263', '37.684255')]","(55.7611839861271, 37.5716638306885)"
Moscow,Mini-Hotel Akademik,0,Inns,"Akademicheskiy, Moscow","13 Novocheremushkinskaya Ulitsa, Akademicheskiy, 117447 Moscow, Russia",,"[('55.553570672913', '37.5207396657791'), ('55.817547327087', '37.6472443342209')]","(55.685559, 37.583992)"
Moscow,Apartment in Kutuzovsky Pereulok,0,Apartments,"Third Transport Ring, Moscow","Ulitsa Studencheskaya 32 , Dorogomilovo, 121165 Moscow, Russia",,"[('55.712572', '37.43412'), ('55.770592', '37.653006')]","(55.741582, 37.543563)"
Moscow,GoodAps: Bolshaya Dorogomilovskaya. Perfect views,0,Apartments,"Third Transport Ring, Moscow","Большая Дорогомиловская 7 2, Dorogomilovo, 101000 Moscow, Russia","Russian, English","[('55.7281095834269', '37.5258761131863'), ('55.7640404165731', '37.5898298868137')]","(55.746075, 37.557853)"
Moscow,Tverskaya 3-rooms Apartment,0,Apartments,"Tverskoy, Moscow","Старопименовский переулок,д.4c1 ,кв17, Tverskoy, 125009 Moscow, Russia","Russian, English","[('55.7360916745749', '37.5658017396927'), ('55.8011475324231', '37.6356142759323')]","(55.768619603499, 37.6007080078125)"
Moscow,Hotel TUKAN,0,Hotels,"Tagansky, Moscow","ул. Вековая 20 стр 3, Tagansky, 109544 Moscow, Russia","Russian, Spanish, English, Arabic","[('55.6341531362438', '37.48286515'), ('55.8520877563133', '37.8667144806884')]","(55.7431204462786, 37.6747898153442)"
Moscow,Moscow LifeStyle - Ulitsa 1905 goda,0,Apartments,"Presnensky, Moscow","2-ya Chernogryazskaya ulitsa 7 build 2, Presnensky, 123100 Moscow, Russia","Russian, Spanish, English","[('55.6931748204837', '37.4383089564697'), ('55.8336796880707', '37.6557527514649')]","(55.7634272542772, 37.5470308539673)"
Moscow,Apartment Antonova-Ovseenko 11,0,Apartments,"Presnensky, Moscow","ul. Antonova-Ovseenko, 11, apt.7, Presnensky, 123317 Moscow, Russia","Russian, English","[('55.7452301774284', '37.5172619866883'), ('55.7645353599647', '37.5580072402954')]","(55.7548827686965, 37.5376346134918)"
Moscow,Ministry Suite Smolenskaya,0,Apartments,"Khamovniki, Moscow","Smolenskiy bulvar, 22/14, Khamovniki, 119002 Moscow, Russia","Chinese, Russian, French, English","[('55.7184415619276', '37.5248582195738'), ('55.7659344047599', '37.645033')]","(55.7421879833437, 37.5849456097869)"
Moscow,Видовые апартаменты у Парка Горького,0,Apartments,"Khamovniki, Moscow","8 Frunzenskaya Naberezhnaya, ap 39, Khamovniki, 119021 Moscow, Russia","Russian, English","[('55.6556534134396', '37.5161823730164'), ('55.8106425865604', '37.6742436269836')]","(55.733148, 37.595213)"
Moscow,Mini Hotel on Maroseyka,0,Hotels,"Basmanny, Moscow","Malyi zlatoystinskiy pereylok 2, Basmanny, 101000 Moscow, Russia","Russian, Hebrew, English","[('55.7437244765411', '37.6127162575722'), ('55.7729975234589', '37.6558957424279')]","(55.758361, 37.634306)"
Moscow,Apartment on Khoroshevskoe,0,Apartments,"Horoshovsky, Moscow","Хорошевское шосcе, д.16, корп.1, Horoshovsky, 125284 Moscow, Russia",,"[('55.7723779228035', '37.5155790942025'), ('55.7769791637491', '37.5760918872123')]","(55.7746785432763, 37.5458354907074)"
Moscow,Penthouse in the famous House of Composers,0,Apartments,"Tverskoy, Moscow","13 Gazetnyy Pereulok kv 105, Tverskoy, 125009 Moscow, Russia","Russian, English","[('55.7479309206289', '37.5787459836911'), ('55.7699550793711', '37.6399260163089')]","(55.758943, 37.609336)"
Moscow,Moskva4you on prospekt 60-letiya Oktyabrya 3k4,0,Apartments,"Gagarinsky, Moscow","Пр-т 60 летия октября д. 3 к. 2, Gagarinsky, 119334 Moscow, Russia","Russian, English","[('55.6325115946466', '37.51211275'), ('55.7793104053534', '37.65349925')]","(55.705911, 37.582806)"
Moscow,Moskva4you on Stremyannyy Pereulok,0,Apartments,"Zamoskvorechye, Moscow","9 Stremyannyy Pereulok, Zamoskvorechye, 115054 Moscow, Russia","Russian, English","[('55.7099915834269', '37.6032579535179'), ('55.7459224165731', '37.6671820464821')]","(55.727957, 37.63522)"
Moscow,Apartment on Biryuzova 13,0,Apartments,"Schukino, Moscow","Marsala Biryuzova 13 , Schukino, 125252 Moscow, Russia","Russian, English","[('55.7421242079655', '37.2954694161988'), ('55.8423145496767', '37.694115')]","(55.7922193788211, 37.4947922080994)"
Moscow,квартира,0,Apartments,"Arbat, Moscow","5 Karmanitskiy Pereulok 6-ой этаж, квартира 111, Arbat, 119002 Moscow, Russia","Russian, English","[('55.71858', '37.496248'), ('55.779008', '37.673912')]","(55.748794, 37.58508)"
Moscow,Moskva4you Donskaya 17,0,Apartments,"Yakimanka, Moscow","Donskaya Ulitsa, 17, Yakimanka, 119049 Moscow, Russia","Russian, English","[('55.670867', '37.577425735582'), ('55.775941', '37.638386264418')]","(55.723404, 37.607906)"
Moscow,TVST apartments on Tverskaya 6,0,Apartments,"Tverskoy, Moscow","Tverskaya street 6 build.1 apt.97, Tverskoy, 123456 Moscow, Russia","Russian, English","[('55.7454997210177', '37.586397'), ('55.7751159357841', '37.6361679008028')]","(55.7603078284009, 37.6112824504014)"
Moscow,Elysium Hotel at Pushkinskaya,0,Hotels,"Tverskoy, Moscow","Maliy Palashevskiy pereulok 6, Tverskoy, 123104 Moscow, Russia","Russian, English","[('55.7246612908957', '37.554809145044'), ('55.8057940810576', '37.6502077420502')]","(55.7652276859766, 37.6025084435471)"
Moscow,Intermark Smolenskaya,0,Apartments,"Khamovniki, Moscow","Ulitsa Smolenskaya-Sennaya 23/25, Khamovniki, 119121 Moscow, Russia","Russian, English","[('55.7260474267605', '37.5508565147806'), ('55.7619782599067', '37.6148069084982')]","(55.7440128433336, 37.5828317116394)"
Moscow,Apart4You Avenue77,0,Apartments,Moscow,"Severnoye Chertanovo ulitsa, 117648 Moscow, Russia",,"[('55.618822055202', '37.5669921875327'), ('55.6547528883482', '37.6307674415491')]","(55.6367874717751, 37.5988798145409)"
Moscow,Mini Hotel Kvartira №2,0,Inns,"Khamovniki, Moscow","Komsomolsky Prospekt 9, Apt 2, Khamovniki, 119146 Moscow, Russia","Russian, English","[('55.6933068633086', '37.541709983527'), ('55.7676671366914', '37.639791816473')]","(55.730487, 37.5907509)"
Moscow,Apartment Komsomolskiy Prospekt 11,0,Apartments,"Khamovniki, Moscow","Komsomolskiy Prospekt, 11, Khamovniki, 119146 Moscow, Russia","Russian, English","[('55.6947460179055', '37.5371834662703'), ('55.7657019820945', '37.6428685337296')]","(55.730224, 37.590026)"
Moscow,Bulgakov Mini-Hotel,0,Hotels,"Arbat, Moscow","Arbat Street 49, Entrance 2, Arbat, 119002 Moscow, Russia","Russian, English","[('55.7151911116741', '37.5301372134918'), ('55.7806217083259', '37.6429975865082')]","(55.74790641, 37.5865674)"
Moscow,Moskva4you Prospekt 60-letiya Octyabrya 3/2,0,Apartments,"Gagarinsky, Moscow","Prospekt 60-letiya Octyabrya 3/2, Gagarinsky, 119334 Moscow, Russia","Russian, English","[('55.658366', '37.477032'), ('55.753632', '37.688622')]","(55.705999, 37.582827)"
Moscow,LikeFlat Apartment Old Arbat,0,Apartments,"Arbat, Moscow","Karmanitskiy Pereylok 2/5 app.30, Arbat, 121099 Moscow, Russia","Russian, English","[('55.7427345264765', '37.579733133316'), ('55.7565383100408', '37.5946784019471')]","(55.7496364182587, 37.5872057676315)"
Moscow,Уютная студия Тимирязевская,0,Apartments,"Timiryazevskiy, Moscow","15 Dmitrovskoye Shosse, Timiryazevskiy, 127434 Moscow, Russia","Russian, English","[('55.7806217083259', '37.5272186223373'), ('55.8588022916741', '37.6194673776627')]","(55.819712, 37.573343)"
Moscow,Apartments on Bolshaya Dmitrovka,0,Apartments,"Tverskoy, Moscow","Bolshaya Dmitrovka 22, Tverskoy, 107031 Moscow, Russia",,"[('55.7318579779539', '37.5753827570084'), ('55.7949856604276', '37.6505721681228')]","(55.7634218191908, 37.6129774625656)"
Moscow,Smolenskaya/Arbat apartments,0,Apartments,"Arbat, Moscow","Проточный пер. 4, Arbat, 121099 Moscow, Russia","Russian, English","[('55.712933', '37.5319516544816'), ('55.788417', '37.6310003455183')]","(55.750675, 37.581476)"
Moscow,Apartment on Kievskaya,0,Apartments,"Third Transport Ring, Moscow","2 Брянская улица , Dorogomilovo, 121059 Moscow, Russia","Russian, English","[('55.7264146398809', '37.531871180797'), ('55.7623454730271', '37.595822176351')]","(55.744380056454, 37.563846678574)"
Moscow,Apartment on Gasheka 11,0,Apartments,"Presnensky, Moscow","11 улица Гашека, Presnensky, 123056 Moscow, Russia","Russian, English","[('55.7517744834269', '37.5591877038367'), ('55.7877053165731', '37.6231802961632')]","(55.7697399, 37.591184)"
Moscow,FortEstate Dmitriya Ulyanova City View,0,Apartments,Moscow,"43к3 Ulitsa Dmitriya Ul'yanova, 117447 Moscow, Russia","Russian, English","[('55.6644745834269', '37.5623561614141'), ('55.7004054165731', '37.6262058385859')]","(55.68244, 37.594281)"
Moscow,Apartment on 9 Varshavskoye shosse 28 building,0,Apartments,"Donskoy, Moscow","9 Varshavskoye shosse 28 building, 3 floor, apartment 7, Donskoy, 117105 Moscow, Russia","Russian, English","[('55.6451907025015', '37.4887257814407'), ('55.7537343727987', '37.7600258588791')]","(55.6994625376501, 37.6243758201599)"
Moscow,Apartment Midnight,0,Apartments,"Presnensky, Moscow","Shmitovskiy proezd, 13, Presnensky, 123100 Moscow, Russia","Russian, English","[('55.7220593973147', '37.5151849723527'), ('55.7938795471735', '37.5856047895493')]","(55.7579694722441, 37.550394880951)"
Moscow,Apartment on Novinskiy Bulvar,0,Apartments,"Arbat, Moscow","Novinskiy Bulvar 1/2, Arbat, 121099 Moscow, Russia","Russian, English","[('55.66352', '37.4521014748687'), ('55.8377418474271', '37.712772')]","(55.7506309237136, 37.5824367374344)"
Moscow,Apartment Malaya Pirogovskaya,0,Apartments,"Khamovniki, Moscow","Malaya Pirogovskaya Ulitsa 27, Bldg.1, Khamovniki, 119435 Moscow, Russia","Russian, English","[('55.6531220230113', '37.5038765319946'), ('55.799186276569', '37.6227916828034')]","(55.7261541497901, 37.563334107399)"
Moscow,Busines Brusnika Apartment Vystavochnaya,0,Apartments,"Presnensky, Moscow","28 Shmitovskiy proyezd, Presnensky, 123317 Moscow, Russia","Russian, English","[('55.7347552144382', '37.4236062536926'), ('55.7775227855618', '37.6538157463074')]","(55.756139, 37.538711)"
Moscow,FortEstate Leninsky 68,0,Apartments,"Gagarinsky, Moscow","Leninsky pr. 68, Gagarinsky, 119296 Moscow, Russia","Russian, English","[('55.6251747151361', '37.4220444701141'), ('55.7534557341401', '37.6705788759186')]","(55.6893152246381, 37.5463116730164)"
Moscow,RestHouse Park Pobedy,0,Apartments,"Dorogomilovo, Moscow","10 1812 Года улица, Dorogomilovo, 121170 Moscow, Russia",,"[('55.7232944818249', '37.4890376423679'), ('55.7592253149711', '37.5529835246481')]","(55.741259898398, 37.521010583508)"
Moscow,European Horizont,0,Apartments,"Third Transport Ring, Moscow","Ulitsa Bolshaya Dorogomilovskaya 8, Dorogomilovo, 121059 Moscow, Russia","Russian, English, Greek","[('55.7106372914652', '37.5408922513122'), ('55.781625', '37.588525')]","(55.7461311457326, 37.5647086256561)"
Moscow,MosFilm Hotel,0,Hotels,"Ramenki, Moscow","Ulitsa Pyryeva 4 Bldg 2, Ramenki, 119285 Moscow, Russia",,"[('55.6882540556493', '37.4132059864387'), ('55.7638261960581', '37.6449804037743')]","(55.7260401258537, 37.5290931951065)"
Moscow,Moskva4you Gilyarovskogo 33,0,Apartments,"Meshchansky, Moscow","Ulitsa Gilyarovskogo 33, Meshchansky, 129090 Moscow, Russia",,"[('55.724295', '37.57234'), ('55.835945', '37.689202')]","(55.78012, 37.630771)"
